message_count,total_attempts,max_retries_to_complete,avg_attempt_count,actual_success_rate,retry_count,measured_success_rate
1500,1848,6,1.232,82.0,1,0.8046666666666666
1500,1848,6,1.232,82.0,2,0.9673333333333334
1500,1848,6,1.232,82.0,3,0.9973333333333332
1500,1848,6,1.232,82.0,4,0.9993333333333332
1500,1848,6,1.232,82.0,5,0.9993333333333332
1500,1848,6,1.232,82.0,6,1.0
1500,1848,6,1.232,82.0,7,1.0
1500,1848,6,1.232,82.0,8,1.0
1500,1848,6,1.232,82.0,9,1.0
1500,1848,6,1.232,82.0,10,1.0
1500,1848,6,1.232,82.0,11,1.0
1500,1848,6,1.232,82.0,12,1.0
1500,1848,6,1.232,82.0,13,1.0
1500,1848,6,1.232,82.0,14,1.0
1500,1848,6,1.232,82.0,15,1.0
1500,1848,6,1.232,82.0,16,1.0
1500,1777,5,1.1846666666666668,84.0,1,0.8466666666666667
1500,1777,5,1.1846666666666668,84.0,2,0.9753333333333334
1500,1777,5,1.1846666666666668,84.0,3,0.994
1500,1777,5,1.1846666666666668,84.0,4,0.9993333333333332
1500,1777,5,1.1846666666666668,84.0,5,1.0
1500,1777,5,1.1846666666666668,84.0,6,1.0
1500,1777,5,1.1846666666666668,84.0,7,1.0
1500,1777,5,1.1846666666666668,84.0,8,1.0
1500,1777,5,1.1846666666666668,84.0,9,1.0
1500,1777,5,1.1846666666666668,84.0,10,1.0
1500,1777,5,1.1846666666666668,84.0,11,1.0
1500,1777,5,1.1846666666666668,84.0,12,1.0
1500,1777,5,1.1846666666666668,84.0,13,1.0
1500,1777,5,1.1846666666666668,84.0,14,1.0
1500,1777,5,1.1846666666666668,84.0,15,1.0
1500,1777,5,1.1846666666666668,84.0,16,1.0
1500,1762,5,1.1746666666666667,86.0,1,0.85
1500,1762,5,1.1746666666666667,86.0,2,0.9793333333333332
1500,1762,5,1.1746666666666667,86.0,3,0.9966666666666668
1500,1762,5,1.1746666666666667,86.0,4,0.9993333333333332
1500,1762,5,1.1746666666666667,86.0,5,1.0
1500,1762,5,1.1746666666666667,86.0,6,1.0
1500,1762,5,1.1746666666666667,86.0,7,1.0
1500,1762,5,1.1746666666666667,86.0,8,1.0
1500,1762,5,1.1746666666666667,86.0,9,1.0
1500,1762,5,1.1746666666666667,86.0,10,1.0
1500,1762,5,1.1746666666666667,86.0,11,1.0
1500,1762,5,1.1746666666666667,86.0,12,1.0
1500,1762,5,1.1746666666666667,86.0,13,1.0
1500,1762,5,1.1746666666666667,86.0,14,1.0
1500,1762,5,1.1746666666666667,86.0,15,1.0
1500,1762,5,1.1746666666666667,86.0,16,1.0
1500,1678,4,1.1186666666666667,88.0,1,0.8966666666666666
1500,1678,4,1.1186666666666667,88.0,2,0.9853333333333332
1500,1678,4,1.1186666666666667,88.0,3,0.9993333333333332
1500,1678,4,1.1186666666666667,88.0,4,1.0
1500,1678,4,1.1186666666666667,88.0,5,1.0
1500,1678,4,1.1186666666666667,88.0,6,1.0
1500,1678,4,1.1186666666666667,88.0,7,1.0
1500,1678,4,1.1186666666666667,88.0,8,1.0
1500,1678,4,1.1186666666666667,88.0,9,1.0
1500,1678,4,1.1186666666666667,88.0,10,1.0
1500,1678,4,1.1186666666666667,88.0,11,1.0
1500,1678,4,1.1186666666666667,88.0,12,1.0
1500,1678,4,1.1186666666666667,88.0,13,1.0
1500,1678,4,1.1186666666666667,88.0,14,1.0
1500,1678,4,1.1186666666666667,88.0,15,1.0
